,Domain,Type,Sponsoring Organization,date
262,.city,generic,BinkyMoonLLC,2025-01-28
263,.cityeats,generic,Notassigned,2025-01-28
266,.claims,generic,BinkyMoonLLC,2025-01-28
267,.cleaning,generic,BinkyMoonLLC,2025-01-28
268,.click,generic,InternetNamingCo,2025-01-28
269,.clinic,generic,BinkyMoonLLC,2025-01-28
270,.clinique,generic,TheEstéeLauderCompaniesInc,2025-01-28
271,.clothing,generic,BinkyMoonLLC,2025-01-28
272,.cloud,generic,ARUBAPECSpA,2025-01-28
273,.club,generic,RegistryServicesLLC,2025-01-28
274,.clubmed,generic,ClubMéditerranéeSA,2025-01-28
278,.coach,generic,BinkyMoonLLC,2025-01-28
279,.codes,generic,BinkyMoonLLC,2025-01-28
280,.coffee,generic,BinkyMoonLLC,2025-01-28
281,.college,generic,XYZCOMLLC,2025-01-28
282,.cologne,generic,dotKoelnGmbH,2025-01-28
283,.com,generic,VeriSignGlobalRegistryServices,2025-01-28
284,.comcast,generic,Notassigned,2025-01-28
285,.commbank,generic,COMMONWEALTHBANKOFAUSTRALIA,2025-01-28
286,.community,generic,BinkyMoonLLC,2025-01-28
287,.company,generic,BinkyMoonLLC,2025-01-28
288,.compare,generic,RegistryServicesLLC,2025-01-28
289,.computer,generic,BinkyMoonLLC,2025-01-28
290,.comsec,generic,VeriSignInc,2025-01-28
291,.condos,generic,BinkyMoonLLC,2025-01-28
292,.construction,generic,BinkyMoonLLC,2025-01-28
293,.consulting,generic,DogBeachLLC,2025-01-28
294,.contact,generic,DogBeachLLC,2025-01-28
295,.contractors,generic,BinkyMoonLLC,2025-01-28
296,.cooking,generic,RegistryServicesLLC,2025-01-28
297,.cookingchannel,generic,Notassigned,2025-01-28
298,.cool,generic,BinkyMoonLLC,2025-01-28
300,.corsica,generic,CollectivitédeCorse,2025-01-28
301,.country,generic,InternetNamingCo,2025-01-28
302,.coupon,generic,AmazonRegistryServicesInc,2025-01-28
303,.coupons,generic,BinkyMoonLLC,2025-01-28
304,.courses,generic,RegistryServicesLLC,2025-01-28
305,.cpa,generic,AmericanInstituteofCertifiedPublicAccountants,2025-01-28
307,.credit,generic,BinkyMoonLLC,2025-01-28
308,.creditcard,generic,BinkyMoonLLC,2025-01-28
309,.creditunion,generic,DotCooperationLLC,2025-01-28
310,.cricket,generic,dotCricketLimited,2025-01-28
311,.crown,generic,CrownEquipmentCorporation,2025-01-28
312,.crs,generic,FederatedCooperativesLimited,2025-01-28
313,.cruise,generic,VikingRiverCruisesBermudaLtd,2025-01-28
314,.cruises,generic,BinkyMoonLLC,2025-01-28
315,.csc,generic,Notassigned,2025-01-28
317,.cuisinella,generic,SCHMIDTGROUPESAS,2025-01-28
322,.cymru,generic,NominetUK,2025-01-28
323,.cyou,generic,ShortdotSA,2025-01-28
325,.dabur,generic,Notassigned,2025-01-28
326,.dad,generic,CharlestonRoadRegistryInc,2025-01-28
327,.dance,generic,DogBeachLLC,2025-01-28
328,.data,generic,DishDBSCorporation,2025-01-28
329,.date,generic,dotDateLimited,2025-01-28
330,.dating,generic,BinkyMoonLLC,2025-01-28
331,.datsun,generic,NISSANMOTORCOLTD,2025-01-28
332,.day,generic,CharlestonRoadRegistryInc,2025-01-28
333,.dclk,generic,CharlestonRoadRegistryInc,2025-01-28
334,.dds,generic,RegistryServicesLLC,2025-01-28
336,.deal,generic,AmazonRegistryServicesInc,2025-01-28
337,.dealer,generic,IntercapRegistryInc,2025-01-28
338,.deals,generic,BinkyMoonLLC,2025-01-28
339,.degree,generic,DogBeachLLC,2025-01-28
340,.delivery,generic,BinkyMoonLLC,2025-01-28
341,.dell,generic,DellInc,2025-01-28
342,.deloitte,generic,DeloitteToucheTohmatsu,2025-01-28
343,.delta,generic,DeltaAirLinesInc,2025-01-28
344,.democrat,generic,DogBeachLLC,2025-01-28
345,.dental,generic,BinkyMoonLLC,2025-01-28
346,.dentist,generic,DogBeachLLC,2025-01-28
347,.desi,generic,EmergencyBackEndRegistryOperatorProgramICANN,2025-01-28
348,.design,generic,RegistryServicesLLC,2025-01-28
349,.dev,generic,CharlestonRoadRegistryInc,2025-01-28
350,.dhl,generic,DeutschePostAG,2025-01-28
351,.diamonds,generic,BinkyMoonLLC,2025-01-28
352,.diet,generic,XYZCOMLLC,2025-01-28
353,.digital,generic,BinkyMoonLLC,2025-01-28
354,.direct,generic,BinkyMoonLLC,2025-01-28
355,.directory,generic,BinkyMoonLLC,2025-01-28
356,.discount,generic,BinkyMoonLLC,2025-01-28
357,.discover,generic,DiscoverFinancialServices,2025-01-28
358,.dish,generic,DishDBSCorporation,2025-01-28
359,.diy,generic,InternetNamingCo,2025-01-28
363,.dnp,generic,DaiNipponPrintingCoLtd,2025-01-28
365,.docs,generic,CharlestonRoadRegistryInc,2025-01-28
366,.doctor,generic,BinkyMoonLLC,2025-01-28
367,.dodge,generic,Notassigned,2025-01-28
368,.dog,generic,BinkyMoonLLC,2025-01-28
369,.doha,generic,Notassigned,2025-01-28
370,.domains,generic,BinkyMoonLLC,2025-01-28
371,.doosan,generic,Notassigned,2025-01-28
372,.dot,generic,DishDBSCorporation,2025-01-28
373,.download,generic,dotSupportLimited,2025-01-28
374,.drive,generic,CharlestonRoadRegistryInc,2025-01-28
375,.dtv,generic,DishDBSCorporation,2025-01-28
376,.dubai,generic,DubaiSmartGovernmentDepartment,2025-01-28
377,.duck,generic,Notassigned,2025-01-28
378,.dunlop,generic,TheGoodyearTireRubberCompany,2025-01-28
379,.duns,generic,Notassigned,2025-01-28
380,.dupont,generic,DuPontSpecialtyProductsUSALLC,2025-01-28
381,.durban,generic,ZACentralRegistryNPCtradingasZACentralRegistry,2025-01-28
382,.dvag,generic,DeutscheVermögensberatungAktiengesellschaftDVAG,2025-01-28
383,.dvr,generic,DISHTechnologiesLLC,2025-01-28
385,.earth,generic,InterlinkSystemsInnovationInstituteKK,2025-01-28
386,.eat,generic,CharlestonRoadRegistryInc,2025-01-28
388,.eco,generic,BigRoomInc,2025-01-28
389,.edeka,generic,EDEKAVerbandkaufmännischerGenossenschafteneV,2025-01-28
391,.education,generic,BinkyMoonLLC,2025-01-28
395,.email,generic,BinkyMoonLLC,2025-01-28
396,.emerck,generic,MerckKGaA,2025-01-28
397,.energy,generic,BinkyMoonLLC,2025-01-28
398,.engineer,generic,DogBeachLLC,2025-01-28
399,.engineering,generic,BinkyMoonLLC,2025-01-28
400,.enterprises,generic,BinkyMoonLLC,2025-01-28
401,.epost,generic,Notassigned,2025-01-28
402,.epson,generic,SeikoEpsonCorporation,2025-01-28
403,.equipment,generic,BinkyMoonLLC,2025-01-28
405,.ericsson,generic,TelefonaktiebolagetLMEricsson,2025-01-28
406,.erni,generic,ERNIGroupHoldingAG,2025-01-28
408,.esq,generic,CharlestonRoadRegistryInc,2025-01-28
409,.estate,generic,BinkyMoonLLC,2025-01-28
410,.esurance,generic,Notassigned,2025-01-28
412,.etisalat,generic,Notassigned,2025-01-28
414,.eurovision,generic,EuropeanBroadcastingUnionEBU,2025-01-28
415,.eus,generic,PuntueusFundazioa,2025-01-28
416,.events,generic,BinkyMoonLLC,2025-01-28
417,.everbank,generic,Notassigned,2025-01-28
418,.exchange,generic,BinkyMoonLLC,2025-01-28
419,.expert,generic,BinkyMoonLLC,2025-01-28
420,.exposed,generic,BinkyMoonLLC,2025-01-28
421,.express,generic,BinkyMoonLLC,2025-01-28
422,.extraspace,generic,ExtraSpaceStorageLLC,2025-01-28
423,.fage,generic,FageInternationalSA,2025-01-28
424,.fail,generic,BinkyMoonLLC,2025-01-28
425,.fairwinds,generic,FairWindsPartnersLLC,2025-01-28
426,.faith,generic,dotFaithLimited,2025-01-28
427,.family,generic,DogBeachLLC,2025-01-28
428,.fan,generic,DogBeachLLC,2025-01-28
429,.fans,generic,ZDNSInternationalLimited,2025-01-28
430,.farm,generic,BinkyMoonLLC,2025-01-28
431,.farmers,generic,FarmersInsuranceExchange,2025-01-28
432,.fashion,generic,RegistryServicesLLC,2025-01-28
433,.fast,generic,AmazonRegistryServicesInc,2025-01-28
434,.fedex,generic,FederalExpressCorporation,2025-01-28
435,.feedback,generic,TopLevelSpectrumInc,2025-01-28
436,.ferrari,generic,FiatChryslerAutomobilesNV,2025-01-28
437,.ferrero,generic,FerreroTradingLuxSA,2025-01-28
439,.fiat,generic,Notassigned,2025-01-28
440,.fidelity,generic,FidelityBrokerageServicesLLC,2025-01-28
441,.fido,generic,RogersCommunicationsCanadaInc,2025-01-28
442,.film,generic,MotionPictureDomainRegistryPtyLtd,2025-01-28
443,.final,generic,NúcleodeInformaçãoeCoordenaçãodoPontoBRNICbr,2025-01-28
444,.finance,generic,BinkyMoonLLC,2025-01-28
445,.financial,generic,BinkyMoonLLC,2025-01-28
446,.fire,generic,AmazonRegistryServicesInc,2025-01-28
447,.firestone,generic,BridgestoneLicensingServicesInc,2025-01-28
448,.firmdale,generic,FirmdaleHoldingsLimited,2025-01-28
449,.fish,generic,BinkyMoonLLC,2025-01-28
450,.fishing,generic,RegistryServicesLLC,2025-01-28
451,.fit,generic,RegistryServicesLLC,2025-01-28
452,.fitness,generic,BinkyMoonLLC,2025-01-28
455,.flickr,generic,FlickrInc,2025-01-28
456,.flights,generic,BinkyMoonLLC,2025-01-28
457,.flir,generic,FLIRSystemsInc,2025-01-28
458,.florist,generic,BinkyMoonLLC,2025-01-28
459,.flowers,generic,XYZCOMLLC,2025-01-28
460,.flsmidth,generic,Notassigned,2025-01-28
461,.fly,generic,CharlestonRoadRegistryInc,2025-01-28
464,.foo,generic,CharlestonRoadRegistryInc,2025-01-28
465,.food,generic,InternetNamingCo,2025-01-28
466,.foodnetwork,generic,Notassigned,2025-01-28
467,.football,generic,BinkyMoonLLC,2025-01-28
468,.ford,generic,FordMotorCompany,2025-01-28
469,.forex,generic,DogBeachLLC,2025-01-28
470,.forsale,generic,DogBeachLLC,2025-01-28
471,.forum,generic,FegistryLLC,2025-01-28
472,.foundation,generic,PublicInterestRegistryPIR,2025-01-28
473,.fox,generic,FOXRegistryLLC,2025-01-28
475,.free,generic,AmazonRegistryServicesInc,2025-01-28
476,.fresenius,generic,FreseniusImmobilienVerwaltungsGmbH,2025-01-28
477,.frl,generic,FRLregistryBV,2025-01-28
478,.frogans,generic,OP3FT,2025-01-28
479,.frontdoor,generic,Notassigned,2025-01-28
480,.frontier,generic,FrontierCommunicationsCorporation,2025-01-28
481,.ftr,generic,FrontierCommunicationsCorporation,2025-01-28
482,.fujitsu,generic,FujitsuLimited,2025-01-28
483,.fujixerox,generic,Notassigned,2025-01-28
484,.fun,generic,RadixTechnologiesInc,2025-01-28
485,.fund,generic,BinkyMoonLLC,2025-01-28
486,.furniture,generic,BinkyMoonLLC,2025-01-28
487,.futbol,generic,DogBeachLLC,2025-01-28
488,.fyi,generic,BinkyMoonLLC,2025-01-28
490,.gal,generic,AsociaciónpuntoGAL,2025-01-28
491,.gallery,generic,BinkyMoonLLC,2025-01-28
492,.gallo,generic,GalloVineyardsInc,2025-01-28
493,.gallup,generic,GallupInc,2025-01-28
494,.game,generic,XYZCOMLLC,2025-01-28
495,.games,generic,DogBeachLLC,2025-01-28
496,.gap,generic,TheGapInc,2025-01-28
497,.garden,generic,RegistryServicesLLC,2025-01-28
498,.gay,generic,RegistryServicesLLC,2025-01-28
500,.gbiz,generic,CharlestonRoadRegistryInc,2025-01-28
502,.gdn,generic,JointStockCompanyNavigationinformationsystems,2025-01-28
504,.gea,generic,GEAGroupAktiengesellschaft,2025-01-28
505,.gent,generic,Combellnv,2025-01-28
506,.genting,generic,ResortsWorldIncPteLtd,2025-01-28
507,.george,generic,WalMartStoresInc,2025-01-28
510,.ggee,generic,GMOInternetInc,2025-01-28
513,.gift,generic,UniregistryCorp,2025-01-28
514,.gifts,generic,BinkyMoonLLC,2025-01-28
515,.gives,generic,PublicInterestRegistryPIR,2025-01-28
516,.giving,generic,PublicInterestRegistryPIR,2025-01-28
518,.glade,generic,Notassigned,2025-01-28
519,.glass,generic,BinkyMoonLLC,2025-01-28
520,.gle,generic,CharlestonRoadRegistryInc,2025-01-28
521,.global,generic,IdentityDigitalLimited,2025-01-28
522,.globo,generic,GloboComunicaçãoeParticipaçõesSA,2025-01-28
524,.gmail,generic,CharlestonRoadRegistryInc,2025-01-28
525,.gmbh,generic,BinkyMoonLLC,2025-01-28
526,.gmo,generic,GMOInternetInc,2025-01-28
527,.gmx,generic,11MailMediaGmbH,2025-01-28
529,.godaddy,generic,GoDaddyEastLLC,2025-01-28
530,.gold,generic,BinkyMoonLLC,2025-01-28
531,.goldpoint,generic,YODOBASHICAMERACOLTD,2025-01-28
532,.golf,generic,BinkyMoonLLC,2025-01-28
533,.goo,generic,NTTResonantInc,2025-01-28
534,.goodhands,generic,Notassigned,2025-01-28
535,.goodyear,generic,TheGoodyearTireRubberCompany,2025-01-28
536,.goog,generic,CharlestonRoadRegistryInc,2025-01-28
537,.google,generic,CharlestonRoadRegistryInc,2025-01-28
538,.gop,generic,RepublicanStateLeadershipCommitteeInc,2025-01-28
539,.got,generic,AmazonRegistryServicesInc,2025-01-28
544,.grainger,generic,GraingerRegistryServicesLLC,2025-01-28
545,.graphics,generic,BinkyMoonLLC,2025-01-28
546,.gratis,generic,BinkyMoonLLC,2025-01-28
547,.green,generic,IdentityDigitalLimited,2025-01-28
548,.gripe,generic,BinkyMoonLLC,2025-01-28
549,.grocery,generic,WalMartStoresInc,2025-01-28
550,.group,generic,BinkyMoonLLC,2025-01-28
554,.guardian,generic,Notassigned,2025-01-28
555,.gucci,generic,GuccioGucciSpa,2025-01-28
556,.guge,generic,CharlestonRoadRegistryInc,2025-01-28
557,.guide,generic,BinkyMoonLLC,2025-01-28
558,.guitars,generic,XYZCOMLLC,2025-01-28
559,.guru,generic,BinkyMoonLLC,2025-01-28
562,.hair,generic,XYZCOMLLC,2025-01-28
563,.hamburg,generic,HamburgTopLevelDomainGmbH,2025-01-28
564,.hangout,generic,CharlestonRoadRegistryInc,2025-01-28
565,.haus,generic,DogBeachLLC,2025-01-28
566,.hbo,generic,HBORegistryServicesInc,2025-01-28
567,.hdfc,generic,HOUSINGDEVELOPMENTFINANCECORPORATIONLIMITED,2025-01-28
568,.hdfcbank,generic,HDFCBankLimited,2025-01-28
569,.health,generic,RegistryServicesLLC,2025-01-28
570,.healthcare,generic,BinkyMoonLLC,2025-01-28
571,.help,generic,InnovationServiceLtd,2025-01-28
572,.helsinki,generic,CityofHelsinki,2025-01-28
573,.here,generic,CharlestonRoadRegistryInc,2025-01-28
574,.hermes,generic,HermesInternational,2025-01-28
575,.hgtv,generic,Notassigned,2025-01-28
576,.hiphop,generic,DotHipHopLLC,2025-01-28
577,.hisamitsu,generic,HisamitsuPharmaceuticalCoInc,2025-01-28
578,.hitachi,generic,HitachiLtd,2025-01-28
579,.hiv,generic,InternetNamingCo,2025-01-28
581,.hkt,generic,PCCWHKTDataComServicesLimited,2025-01-28
584,.hockey,generic,BinkyMoonLLC,2025-01-28
585,.holdings,generic,BinkyMoonLLC,2025-01-28
586,.holiday,generic,BinkyMoonLLC,2025-01-28
587,.homedepot,generic,HomeDepotProductAuthorityLLC,2025-01-28
588,.homegoods,generic,TheTJXCompaniesInc,2025-01-28
589,.homes,generic,XYZCOMLLC,2025-01-28
590,.homesense,generic,TheTJXCompaniesInc,2025-01-28
591,.honda,generic,HondaMotorCoLtd,2025-01-28
592,.honeywell,generic,Notassigned,2025-01-28
593,.horse,generic,RegistryServicesLLC,2025-01-28
594,.hospital,generic,BinkyMoonLLC,2025-01-28
595,.host,generic,RadixTechnologiesInc,2025-01-28
596,.hosting,generic,XYZCOMLLC,2025-01-28
